1Y.GR01;1;1
1Y.GR02;1;1
1Y.GR03;1;1
1Y.GR04;1;1
1Y.GR05;1;1
1Y.GR06;1;1
1Y.GR07;1;1
1Y.GR09;1;1
1Y.GR10;1;1
1Y.GR11;1;1
1Y.GR12;1;1
1Y.GR13;1;1
1Y.GR14;1;1
1Y.GR15;1;1
1Y.GR16;1;1
1Y.GR17;1;1
1Y.GR18;1;1
1Y.GR19;0;0
1Y.GR19B;1;1
1Y.GR20;1;1
1Y.GR21;1;1
1Y.GR22;1;1
1Y.GR23;1;1
1Y.GR24;1;1
1Y.GR26;1;1
1Y.GR27;1;1
1Y.GR28;1;1
1Y.GR29;1;1
1Y.GR30;1;1
1Y.GR31;1;1
1Y.GR32;1;1
1Y.GR33;1;1
1Y.LFKM;0;0
1Y.MK01A;1;1
1Y.MK02A;1;1
1Y.MK03A;1;1
1Y.MK04A;1;1
2Y.A300A;-1;-1
2Y.A301A;-1;-1
2Y.A302A;-1;-1
2Y.A303A;-1;-1
4P.IT01A;1;1
4P.IT02A;1;1
4P.IT03A;1;1
4P.IT04A;1;1
4P.IT05A;-1;-1
4P.IT06A;1;1
4P.IT07A;1;1
4P.IT08A;1;1
4P.IT09A;1;1
4P.IT20A;1;1
4P.IT22A;1;1
4P.IT23A;1;1
4P.IT24A;1;1
4P.IT26A;1;1
4P.IT27A;1;1
4P.IT28A;1;1
5B.RP01;1;1
5B.RP02;1;1
5B.RP03;1;1
5B.RP04;1;1
5B.RP05;1;1
5B.RP06;1;1
5B.RP07;1;1
5B.RP08;1;1
7B.A001A;3;3
7B.A002B;3;3
7B.A003A;3;3
7B.A004A;3;3
7B.A005B;3;3
7B.A008A;3;3
7B.A011B;3;3
7B.A013A;3;3
7B.A014A;3;3
7B.A016A;3;3
7B.A017A;3;3
7B.A018A;3;3
7B.A019A;3;3
7B.A020B;3;3
7B.A021A;3;3
7B.A024B;3;3
7B.A331A;3;3
7B.A332A;3;3
7B.A333A;3;3
7B.A334A;3;3
7B.A335A;3;3
7B.A336A;3;3
7B.A337A;3;3
7B.A338A;3;3
7B.A339A;5;5
9H.HR01A;1;1
9H.HR02A;1;1
9H.HR03A;1;1
